State,County,CensusTract,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20
Illinois,Cook County,17031010100,1,0,1,0,1,1,0,1,0
Illinois,Cook County,17031010201,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010202,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010300,1,0,1,0,1,1,0,1,0
Illinois,Cook County,17031010400,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010501,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010502,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010503,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010600,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010701,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031010702,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020100,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020200,1,0,0,0,0,0,0,0,0
Illinois,Cook County,17031020301,1,0,0,0,0,0,0,1,0
Illinois,Cook County,17031020302,1,0,1,0,0,1,0,1,0
Illinois,Cook County,17031020400,1,0,0,0,0,0,0,1,0
Illinois,Cook County,17031020500,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020601,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020602,1,0,1,0,0,1,0,1,0
Illinois,Cook County,17031020701,1,0,0,0,0,0,0,1,0
Illinois,Cook County,17031020702,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020801,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020802,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020901,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031020902,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031030101,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031030102,1,0,0,0,0,0,0,0,0
Illinois,Cook County,17031030103,1,0,0,0,0,0,0,0,0
Illinois,Cook County,17031030104,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031030200,1,0,0,0,0,0,0,0,0
Illinois,Cook County,17031030300,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031030400,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031030500,1,0,0,0,0,0,0,0,0
Illinois,Cook County,17031030601,1,0,0,0,0,1,0,0,0
Illinois,Cook County,17031030603,1,0,0,0,0,1,0,0,0
