RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - Non-binary,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Middle Eastern or North African,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Former EL,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Student Enrollment - Youth in Care,% Student Enrollment - Migrant,% Student Enrollment - Military,% Teachers - White,% Teachers - Black or African American,% Teachers - Hispanic or Latino,% Teachers - Asian,% Teachers - Native Hawaiian or Other Pacific Islander,% Teachers - American Indian or Alaska Native,% Teachers - Two or More Races,% Teachers - MENA,% Out-of-Field Teachers,% Out-of-Field Teachers - High Poverty Schools,% Out-of-Field Teachers - Low Poverty Schools,% 9th Grade on Track - White,% 9th Grade on Track - Black or African American,% 9th Grade on Track - Hispanic or Latino,% 9th Grade on Track - Asian,% 9th Grade on Track - Native Hawaiian or Other Pacific Islander,% 9th Grade on Track - American Indian or Alaska Native,% 9th Grade on Track - Two or More Races,% 9th Grade on Track - MENA,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% 9th Grade on Track - EL,% 4-year Institution Remediation - ELA,% CRDC School Related Arrests,% Students Assessed for Giftedness  - White,% Students Assessed for Giftedness  - Black or African American,% Students Assessed for Giftedness  - Hispanic or Latino,% Students Assessed for Giftedness  - Asian,% Students Assessed for Giftedness  - Native Hawaiian or Other Pacific Islander,% Students Assessed for Giftedness  - American Indian or Alaska Native,% Students Assessed for Giftedness  - Two or More Race,% Students Assessed for Giftedness  - MENA,% Students Assessed for Giftedness  - IEP,% Students Assessed for Giftedness  - EL,% Students Identified as Gifted  - White,% Students Identified as Gifted  - Black or African American,% Students Identified as Gifted  - Hispanic or Latino,% Students Identified as Gifted  - Asian,% Students Identified as Gifted  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted  - American Indian or Alaska Native,% Students Identified as Gifted  - Two or More Race,% Students Identified as Gifted  - MENA,% Students Identified as Gifted  - IEP,% Students Identified as Gifted  - EL,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - White,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Black or African American,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Asian,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Two or More Race,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - MENA,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - IEP,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - EL,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - White,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Black or African American,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Asian,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Two or More Race,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - MENA,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - IEP,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - EL
01-009-2620-26-0002,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,Unit District,High School,9 - 12,51.1,48.9,,91.3,,,,,,,,,,,,,38.0,,,,,66.5,,,,,,,,16.5,,,94.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-048-2760-26-0001,Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,High School,9 - 12,50.4,49.6,,84.4,,4.8,,,,9.6,,18.9,15.2,,,100.0,50.0,,,,,88.8,,8.3,,,,,,20.9,,,90.9,,,,,,,,90.9,,,,0.0,9.7,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1250-13-0001,Adlai E Stevenson High School,Adlai E Stevenson HSD 125,Lincolnshire,Lake,High School District,High School,9 - 12,51.0,,,40.8,1.9,8.6,44.6,,0.4,3.6,,16.4,7.2,9.9,30.2,59.9,7.5,,,,,82.6,1.7,4.4,9.6,0.3,0.7,0.6,,1.7,,,97.4,86.7,92.4,98.7,,,100.0,,93.7,91.7,92.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-0190-24-0002,Alden-Hebron High School,Alden Hebron SD 19,Hebron,McHenry,Unit District,High School,9 - 12,56.0,44.0,,67.0,,33.0,,,,,,14.7,14.7,14.7,9.2,76.1,44.0,,,,,84.4,,15.6,,,,,,17.5,,,100.0,,100.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-025-0100-26-0001,Altamont High School,Altamont CUSD 10,Altamont,Effingham,Unit District,High School,9 - 12,48.4,51.6,,93.5,,,,,,,,17.2,12.6,,,100.0,50.2,7.0,,,9.8,100.0,,,,,,,,9.2,,,92.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-057-0110-26-0001,Alton High School,Alton CUSD 11,Alton,Madison,Unit District,High School,9 - 12,50.9,,,54.8,28.0,5.8,,,,10.8,,21.9,15.3,0.9,0.6,98.5,42.0,2.0,0.8,,1.1,91.0,8.0,,1.0,,,,,14.6,,,78.0,64.4,71.4,,,,68.1,,53.0,50.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-037-2250-26-0001,AlWood  Middle/High School,AlWood CUSD 225,Woodhull,Henry,Unit District,High School,6 - 12,50.0,50.0,,92.3,,,,,,6.0,,18.1,13.7,,,,33.5,,,,,84.8,,,,,,,,0.0,,,92.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-052-2720-26-0001,Amboy High School,Amboy CUSD 272,Amboy,Lee,Unit District,High School,9 - 12,53.8,46.2,,88.8,,10.3,,,,,,13.0,9.0,,,97.8,38.1,,,,,95.0,,5.0,,,,,,2.2,,,95.8,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-091-0810-16-0001,Anna-Jonesboro High School,Anna Jonesboro CHSD 81,Anna,Union,High School District,High School,9 - 12,50.9,49.1,,89.6,,6.6,,,,,,20.7,15.4,,,96.9,50.0,6.2,,,,100.0,,,,,,,,13.7,,,91.8,,,,,,,,81.0,78.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-037-2260-26-0001,Annawan High School,Annawan CUSD 226,Annawan,Henry,Unit District,High School,9 - 12,62.8,37.2,,92.6,,,,,,,,12.8,,,,100.0,30.9,,,,,83.6,,,,,,,,3.6,,,95.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
