GEOID,median_hh_income,total_n_hh,hh_under_0.5_pov,hh_between_0.5_0.74_pov,hh_between_0.75_0.99_pov,hh_between_1.00_to_1.24_pov,hh_between_1.25_to_1.49_pov,hh_between_1.50_to_1.74_pov,hh_between_1.75_to_1.84_pov,hh_between_1.85_to_1.99_pov,hh_between_2.00_to_2.99_pov,hh_between_3.00_to_3.99_pov,hh_between_4.00_to_4.99_pov,hh_between_5.00_and_over_pov,year,pov_share_under_1_00
17031806002,56975,1855,187,72,86,35,35,69,16,27,386,296,266,380,2016,0.18598382749326145
17031806003,53769,1836,32,39,6,35,55,108,0,55,311,560,285,350,2016,0.041938997821350764
17031806400,62750,605,49,0,31,0,12,17,11,35,47,40,104,259,2016,0.1322314049586777
17031806501,53583,601,55,31,6,24,23,50,21,22,120,95,65,89,2016,0.15307820299500832
17031750600,40125,717,58,66,72,10,35,0,0,0,103,201,23,149,2016,0.2733612273361227
17031310200,63250,302,10,0,29,5,28,12,13,0,43,13,51,98,2016,0.1291390728476821
17031691200,28472,823,80,116,119,83,34,19,0,29,142,47,66,88,2016,0.3827460510328068
17031700100,64470,881,56,0,42,44,45,23,0,7,139,117,33,375,2016,0.1112372304199773
17031710600,24045,419,85,11,29,38,28,41,7,13,69,39,40,19,2016,0.29832935560859186
17031711300,32788,382,51,20,37,29,35,0,0,4,26,105,22,53,2016,0.28272251308900526
17031730500,51681,1152,147,9,112,32,46,61,0,38,240,179,168,120,2016,0.2326388888888889
17031770700,48750,681,36,11,15,23,59,23,10,11,79,82,126,206,2016,0.091042584
17031800200,174429,1747,34,0,0,12,38,0,0,0,29,78,120,1436,2016,0.019461934745277618
17031800300,171964,925,8,13,0,0,4,0,0,0,49,37,20,794,2016,0.022702702702702703
17031800500,204911,1412,32,0,0,8,11,11,19,7,50,93,33,1148,2016,0.02266289
17031801100,153702,1277,0,0,0,0,0,11,9,0,49,111,134,963,2016,0
17031801500,100618,1698,0,36,0,13,18,18,0,16,141,201,125,1130,2016,0.021201413
17031801603,41612,1017,95,18,40,46,24,46,37,49,189,111,98,264,2016,0.1504424778761062
17031801608,108266,1840,19,15,17,32,0,34,0,22,80,127,120,1374,2016,0.027717391304347826
17031801901,83686,927,14,9,15,0,48,11,0,0,92,85,86,567,2016,0.040992448759439054
17031802402,61991,1350,36,36,114,68,45,41,10,12,206,116,279,387,2016,0.13777777777777778
17031803010,99135,1372,11,33,10,26,0,18,23,9,81,102,119,940,2016,0.039358601
17031300600,40511,691,86,42,34,64,64,23,5,48,191,41,26,67,2016,0.23444283646888567
17031802403,64750,309,3,0,0,0,4,16,5,0,43,42,41,155,2016,0.009708738
17031802404,45718,1740,205,15,29,153,88,244,0,35,268,227,167,309,2016,0.14310344827586208
17031802505,48021,1578,107,14,133,200,274,0,20,0,133,178,245,274,2016,0.16096324461343473
17031802506,55972,583,26,14,5,86,28,25,7,3,101,72,42,174,2016,0.077186964
17031802607,100781,424,5,0,0,0,11,5,0,4,51,56,52,240,2016,0.011792453
17031802608,56905,1715,14,13,22,47,77,8,0,18,338,316,236,626,2016,0.028571429
17031802609,53349,1566,15,111,8,49,55,157,0,23,388,360,123,277,2016,0.085568327
17031802610,83889,478,0,0,0,13,14,10,5,5,46,64,88,233,2016,0
17031803012,72143,513,0,10,18,29,14,0,4,18,63,78,80,199,2016,0.054580897
17031803013,81603,1511,42,0,0,58,86,43,14,49,155,115,127,822,2016,0.027796161482461945
17031803014,57183,896,21,0,9,8,16,21,23,35,200,53,127,383,2016,0.033482142857142856
17031803015,72772,1267,0,12,59,41,0,15,8,20,172,142,135,663,2016,0.056037884767166535
17031803016,89023,736,5,4,16,0,7,11,8,15,80,126,127,337,2016,0.033967391304347824
17031803017,82068,1714,17,0,20,14,62,43,0,0,118,160,242,1038,2016,0.021586931155192533
17031803611,49116,1472,86,68,92,110,110,119,0,71,256,113,133,314,2016,0.1671195652173913
17031803612,49518,665,39,50,81,80,43,16,0,35,108,75,70,68,2016,0.2556390977443609
17031803701,75938,687,0,0,8,7,8,0,12,7,62,81,77,425,2016,0.011644832605531296
17031838200,38382,138,0,0,4,0,6,13,0,24,22,11,23,35,2016,0.028985507246376812
17031838300,43516,305,35,17,20,31,17,0,0,0,42,36,16,91,2016,0.2360655737704918
17031838600,13281,297,108,60,0,42,19,13,0,0,8,35,12,0,2016,0.5656565656565656
17031838000,17377,444,91,33,8,20,15,0,13,54,20,32,12,146,2016,0.2972972972972973
17031838100,17370,186,0,20,0,12,11,0,0,0,25,28,0,90,2016,0.10752688172043011
17031838700,20294,996,248,171,96,32,162,33,34,0,100,30,68,22,2016,0.5170682730923695
17031838800,19228,759,184,98,82,57,15,46,6,0,139,85,15,32,2016,0.4795783926218709
17031839000,84780,1572,102,38,0,0,0,0,65,0,59,65,69,1174,2016,0.089058524
17031839100,86739,749,35,0,12,13,0,0,0,10,73,14,53,539,2016,0.062750334
17031839200,29831,453,16,24,0,37,25,43,0,32,83,63,14,116,2016,0.088300221
17031839500,22279,216,0,13,0,18,9,0,0,12,20,10,2,132,2016,0.060185185
17031839600,31250,354,6,0,29,5,14,10,17,0,111,5,34,123,2016,0.098870056
17031839700,42200,909,35,77,65,33,44,21,11,29,126,108,89,271,2016,0.19471947194719472
17031839800,44159,713,30,78,18,24,46,11,11,11,147,104,19,214,2016,0.1767180925666199
17031839900,60536,1033,50,17,5,85,48,7,19,21,99,135,168,379,2016,0.069699903
17031840000,61429,658,33,41,11,23,22,17,0,10,99,48,50,304,2016,0.12917933130699089
17031840100,33942,620,38,32,26,120,22,42,36,22,119,66,49,48,2016,0.15483870967741936
17031840200,44522,562,27,41,34,45,19,40,6,37,32,71,64,146,2016,0.18149466192170818
17031840300,45694,873,62,47,98,54,21,11,13,49,251,157,26,84,2016,0.23711340206185566
17031840400,37891,759,63,23,67,38,59,38,27,79,71,48,72,174,2016,0.2015810276679842
17031840700,31389,769,98,78,78,69,66,68,21,18,159,20,46,48,2016,0.33029908972691807
17031840800,30759,649,71,55,52,71,56,82,31,9,159,27,15,21,2016,0.27426810477657937
17031061902,59355,634,0,14,13,0,0,11,0,13,54,81,0,448,2016,0.042586751
17031031501,22647,733,134,70,65,84,30,41,9,8,98,31,32,131,2016,0.3669849931787176
17031031502,23700,573,91,25,0,53,51,105,0,0,106,28,19,95,2016,0.2024432809773124
17031040402,72218,1029,0,0,57,0,0,16,13,15,159,81,13,675,2016,0.055393586
17031070101,70948,525,18,0,12,0,0,0,0,0,18,15,94,368,2016,0.057142857
17031063301,43895,289,0,9,34,29,0,0,0,0,21,0,25,171,2016,0.14878892733564014
17031063303,77552,212,0,0,0,0,0,0,0,0,9,6,6,191,2016,0
17031063302,68686,557,44,0,0,0,26,0,0,0,24,11,15,437,2016,0.078994614
17031070102,61848,301,0,0,0,0,0,11,0,0,9,32,13,236,2016,0
17031070103,51432,143,0,0,0,0,9,0,0,0,40,28,22,44,2016,0
17031080201,73087,566,0,0,0,56,0,0,0,0,27,114,0,369,2016,0
17031080202,81133,741,12,0,12,0,0,0,0,0,30,14,35,638,2016,0.032388663967611336
17031081201,86708,633,21,0,0,0,0,14,0,0,47,28,14,509,2016,0.033175355
17031081202,100889,776,9,0,8,0,8,10,0,0,59,54,52,576,2016,0.021907216
17031081401,69722,417,0,8,0,0,0,10,0,0,30,13,16,340,2016,0.019184652278177457
17031081402,108030,1143,0,14,0,0,0,9,15,0,121,36,55,893,2016,0.012248468941382326
17031081403,101142,1469,0,0,0,30,0,0,0,0,63,249,20,1107,2016,0
17031110501,77843,1300,11,15,10,56,25,23,32,32,238,166,146,546,2016,0.027692307692307693
17031110502,50337,759,16,40,64,9,18,20,36,10,161,70,23,292,2016,0.15810276679841898
17031140301,45417,549,77,25,20,33,31,36,31,26,74,107,38,51,2016,0.2222222222222222
17031140302,60994,858,40,17,46,51,39,84,8,7,138,95,66,267,2016,0.12004662004662005
17031140602,51250,1083,47,57,157,57,68,71,0,97,49,176,104,200,2016,0.2409972299168975
17031818500,76959,1359,13,12,0,9,29,12,0,0,138,225,101,820,2016,0.018395879
17031818700,83315,951,7,9,40,33,10,0,8,8,102,135,116,483,2016,0.058885383806519455
17031200100,45182,961,32,15,8,114,58,111,17,0,176,205,51,174,2016,0.05723205
17031160900,71786,545,0,9,0,24,24,35,0,0,48,67,121,217,2016,0.016513761
17031170900,60357,427,17,6,0,6,25,10,0,5,53,69,70,166,2016,0.053864168618266976
17031220300,81433,423,16,4,12,24,3,18,0,5,43,50,37,211,2016,0.075650118
17031630100,29375,192,14,0,11,49,18,6,13,8,31,3,30,9,2016,0.13020833333333334
17031661000,31329,1121,110,83,59,111,109,33,15,7,213,172,82,127,2016,0.2247992863514719
17031670200,24408,185,25,10,32,0,24,12,0,8,24,15,17,18,2016,0.3621621621621622
17031010400,37228,747,49,0,0,39,103,0,0,0,118,138,60,240,2016,0.065595716
17031380100,19747,388,43,0,58,79,0,28,3,16,9,76,9,67,2016,0.2603092783505155
17031671800,36042,272,58,18,0,27,7,12,13,14,25,31,24,43,2016,0.27941176470588236
17031691100,20431,710,227,55,24,44,27,63,14,22,131,36,28,39,2016,0.4309859154929577
17031530300,42684,1050,75,131,8,34,53,19,8,71,162,180,122,187,2016,0.2038095238095238
17031560900,79931,1280,0,7,14,10,25,43,0,16,192,157,222,594,2016,0.01640625
17031580300,40743,527,52,33,26,45,51,27,17,14,139,55,2,66,2016,0.21062618595825428
17031611300,26289,554,72,31,60,50,58,30,12,17,139,51,23,11,2016,0.29422382671480146
17031611600,31250,311,15,42,15,7,41,4,32,7,110,23,10,5,2016,0.2315112540192926
17031620300,51281,1519,44,30,72,122,142,221,32,65,337,122,150,182,2016,0.096115866
17031620400,52045,1024,3,42,63,48,49,38,63,111,186,268,83,70,2016,0.10546875
17031120100,122500,1057,18,8,0,5,10,0,27,0,98,85,92,714,2016,0.024597919
17031140100,36159,675,43,122,55,26,34,97,0,25,120,61,28,64,2016,0.32592592592592595
17031150800,51536,1241,0,6,54,45,78,17,135,106,227,183,84,306,2016,0.048348106365834004
17031151100,52300,1288,72,64,18,31,111,50,42,38,271,194,127,270,2016,0.11956521739130435
17031160100,56506,596,27,0,0,40,43,20,29,15,68,127,56,171,2016,0.045302013
17031160400,47526,1173,73,35,37,96,49,27,59,0,296,143,64,294,2016,0.12361466325660699
17031171100,67304,869,0,36,10,0,9,24,27,8,56,191,158,350,2016,0.052934407
17031190300,44271,1058,63,44,35,71,60,83,35,46,160,196,90,175,2016,0.1342155009451796
17031819000,120927,1101,0,0,0,8,0,20,9,0,33,118,120,793,2016,0
17031170600,68750,668,7,0,14,31,26,40,18,7,78,96,159,192,2016,0.031437126
17031600900,44900,735,23,12,36,46,69,75,34,26,165,85,87,77,2016,0.096598639
17031630300,48068,1100,78,30,88,63,196,154,39,83,209,51,50,59,2016,0.1781818181818182
17031828702,50875,1226,100,9,95,39,90,40,21,47,210,193,101,281,2016,0.16639477977161501
17031830001,40125,556,0,11,30,0,25,54,0,19,144,71,80,122,2016,0.073741007
17031819500,73500,702,77,0,13,0,8,6,0,9,56,112,102,319,2016,0.1282051282051282
17031460700,20118,647,150,108,30,31,86,26,9,26,113,39,29,0,2016,0.44513137557959814
17031491000,26641,913,250,70,34,62,68,82,4,67,101,67,33,75,2016,0.3877327491785323
17031821900,57458,1225,28,0,43,0,0,72,50,6,231,179,211,405,2016,0.057959184
17031823602,56563,1624,0,0,34,28,0,0,52,11,346,225,302,626,2016,0.020935960591133004
17031824108,75640,2001,46,29,16,48,78,133,0,0,229,308,375,739,2016,0.045477261
17031818800,72386,1406,42,38,44,30,14,19,0,0,279,251,134,555,2016,0.088193457
17031191100,46905,1576,19,114,256,118,78,162,36,83,362,213,67,68,2016,0.2468274111675127
17031230400,56250,500,44,57,23,33,26,25,23,0,119,51,61,38,2016,0.248
17031242900,65284,288,0,0,5,0,14,0,0,0,28,20,12,209,2016,0.017361111111111112
17031570400,42500,356,14,0,16,0,21,69,13,17,94,81,13,18,2016,0.084269663
17031822302,58708,1136,63,8,34,81,82,23,10,0,198,100,199,338,2016,0.092429577
17031823903,101333,1250,19,30,0,0,8,33,15,15,85,113,166,766,2016,0.0392
17031825600,37334,1269,151,114,56,73,51,51,39,36,257,125,109,207,2016,0.25295508274231676
17031828401,62390,967,6,23,0,9,50,45,30,41,156,113,112,382,2016,0.029989659
17031827901,77246,607,31,0,17,10,11,9,8,38,58,88,105,232,2016,0.07907743
17031081100,58827,483,0,0,0,0,0,24,0,0,36,14,14,395,2016,0
17031110300,72198,1250,11,4,36,46,75,24,13,0,100,229,145,567,2016,0.0408
17031190200,50317,1281,83,95,46,57,184,42,16,22,279,188,119,150,2016,0.17486338797814208
17031221300,53385,471,25,0,23,8,51,47,0,6,23,57,67,164,2016,0.10191082802547771
17031251200,43011,853,39,111,38,52,44,77,42,38,150,111,69,82,2016,0.22039859320046892
17031282800,52461,283,13,0,8,21,6,6,0,22,48,47,11,101,2016,0.074204947
17031260600,21607,403,47,87,37,24,20,30,18,0,75,44,0,21,2016,0.42431761786600497
17031710700,22250,596,84,30,16,71,12,60,72,0,89,22,51,89,2016,0.2181208053691275
17031710900,19561,520,185,31,29,16,9,41,0,10,78,21,30,70,2016,0.47115384615384615
17031711400,35573,507,82,39,7,35,17,17,52,25,112,35,42,44,2016,0.252465483
17031720300,119604,1042,0,0,19,0,0,26,28,32,33,89,147,668,2016,0.018234165067178502
17031730300,42734,268,31,0,8,10,8,22,5,9,33,42,22,78,2016,0.1455223880597015
17031740100,89185,900,28,0,0,8,23,23,0,18,52,93,138,517,2016,0.031111111
17031828802,65439,889,42,10,30,10,41,25,0,11,187,116,137,280,2016,0.09223847
17031828900,27214,632,120,42,65,34,13,51,12,24,101,74,25,71,2016,0.35917721518987344
17031829901,62123,2222,130,21,0,49,114,97,17,15,269,436,406,668,2016,0.067956796
17031829902,71382,1532,85,0,0,0,5,199,0,24,173,164,188,694,2016,0.055483029
17031841000,50417,187,11,24,0,0,0,20,17,0,0,5,16,94,2016,0.18716577540106952
17031804804,72676,1731,15,54,20,42,29,45,19,0,303,328,357,519,2016,0.051415367
17031805105,55972,1715,130,60,123,118,116,46,30,44,121,166,323,438,2016,0.1825072886297376
17031805108,51335,1648,29,11,9,174,131,44,40,20,402,247,90,451,2016,0.029733009708737865
17031805701,88036,1375,9,9,11,45,28,32,10,9,92,157,161,812,2016,0.021090909
17031805702,101786,518,8,0,0,0,23,0,0,17,79,62,29,300,2016,0.015444015444015444
17031806801,56282,919,41,0,35,66,34,47,15,6,119,121,64,371,2016,0.082698585
17031807300,60139,1877,122,80,25,32,28,73,27,38,403,231,227,591,2016,0.12093766648907832
17031808002,82279,1218,35,0,47,27,30,5,16,44,171,96,145,602,2016,0.067323481
17031808900,119750,1186,16,7,10,19,14,10,0,7,154,56,23,870,2016,0.027824621
17031809800,63472,503,8,0,28,0,0,0,8,0,43,32,31,353,2016,0.071570577
17031490901,35469,862,142,27,19,49,37,39,30,11,151,69,92,196,2016,0.21809744779582366
17031490902,43083,1179,102,46,58,28,47,25,9,56,269,170,184,185,2016,0.17472434266327397
17031530502,41625,332,37,35,19,8,11,5,18,16,58,36,63,26,2016,0.2740963855421687
17031819300,73214,702,6,25,19,14,15,13,0,23,119,62,119,287,2016,0.071225071
17031820400,45901,1237,113,81,80,87,114,75,15,27,288,162,56,139,2016,0.22150363783346808
17031820800,66250,937,23,41,0,45,21,55,15,51,210,174,110,192,2016,0.068303095
17031170100,37708,418,39,9,15,30,19,0,18,19,46,36,55,132,2016,0.1507177033492823
17031170700,63333,770,10,46,36,9,14,23,9,10,146,148,114,205,2016,0.11948051948051948
17031190100,31364,559,16,92,22,52,60,23,11,19,157,48,22,37,2016,0.23255813953488372
17031220500,73125,478,11,16,0,0,16,33,21,0,76,82,12,211,2016,0.056485355648535567
17031222700,52063,556,79,35,33,18,58,44,16,34,57,25,33,124,2016,0.2643884892086331
17031231200,26773,1231,216,121,121,79,111,82,42,0,179,139,60,81,2016,0.37205523964256704
17031231500,27788,1322,222,70,129,155,213,17,0,49,203,191,21,52,2016,0.3184568835098336
17031240500,125139,520,9,0,0,0,0,0,28,0,0,0,0,483,2016,0.017307692
17031240900,40515,218,10,25,0,0,0,17,19,0,63,22,16,46,2016,0.16055045871559634
17031242200,84620,607,23,35,0,0,10,25,25,0,51,24,74,340,2016,0.095551895
17031243500,93092,624,44,0,35,0,20,0,0,0,24,9,63,429,2016,0.1266025641025641
17031250500,74708,1905,109,63,74,45,60,38,32,77,214,146,249,798,2016,0.12913385826771653
17031251000,34583,269,11,21,31,10,13,39,21,23,51,33,3,13,2016,0.2342007434944238
17031190900,36522,414,18,7,67,31,11,0,5,0,111,83,46,35,2016,0.2222222222222222
17031200300,36607,484,21,75,48,16,15,30,11,0,130,51,37,50,2016,0.2975206611570248
17031110100,53141,1225,68,13,43,48,88,56,0,26,92,147,94,550,2016,0.10122448979591837
17031110200,78034,747,20,29,13,0,10,26,0,13,86,202,98,250,2016,0.082998661
17031130200,76171,374,0,0,8,0,9,9,6,0,49,58,44,191,2016,0.021390374
17031803005,75066,798,8,8,8,17,9,23,11,0,113,183,52,366,2016,0.030075188
17031803300,77426,1396,0,0,0,11,23,11,0,24,120,159,236,812,2016,0
17031803605,89886,1829,37,83,0,22,20,0,83,30,225,159,178,992,2016,0.065609623
17031271800,17652,186,59,19,41,15,0,0,0,14,31,7,0,0,2016,0.6397849462365591
