x_POP20,School Name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,x_D_black_white,x_D_lowincome_notlowincome,x_D_white_hispanic,x_median_hh_income,x_total_n_hh,x_hh_under_0.5_pov,x_hh_between_0.5_0.74_pov,x_hh_between_0.75_0.99_pov,x_hh_between_1.00_to_1.24_pov,x_hh_between_1.25_to_1.49_pov,x_hh_between_1.50_to_1.74_pov,x_hh_between_1.75_to_1.84_pov,x_hh_between_1.85_to_1.99_pov,x_hh_between_2.00_to_2.99_pov,x_hh_between_3.00_to_3.99_pov,x_hh_between_4.00_to_4.99_pov,x_hh_between_5.00_and_over_pov,x_pov_share_under_1_00,x_Urban,x_LILATracts_1And10,x_LILATracts_halfAnd10,x_LILATracts_1And20,x_LILATracts_Vehicle,x_LowIncomeTracts,x_LA1and10,x_LAhalfand10,x_LA1and20,x_transport_length
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2016,11.7,37.4,89.4,0.8,,95.3,0.8,3322.0,4.9,5.0,30.4,3.6,17.5,5.0,13.3,39.9,43.3,,68.8,92.5,0.7582594210265702,0.575559100801645,0.6026948148460517,68460.0,789.0,0.0,41.0,37.0,16.0,39.0,5.0,0.0,0.0,184.0,83.0,58.0,326.0,0.098859316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2017,12.6,58.2,93.2,54.7,,94.9,0.6,3285.0,7.4,5.6,29.4,4.2,18.0,5.0,12.1,40.5,44.1,,55.5,90.7,0.7865127144466507,0.6084814665314048,0.6303904112872264,87889.0,802.0,0.0,45.0,37.0,26.0,22.0,12.0,0.0,0.0,119.0,113.0,62.0,366.0,0.1022443890274314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2018,12.9,55.6,92.3,51.6,,97.2,0.7,3459.0,7.8,5.7,27.6,4.6,18.4,4.8,11.6,38.4,45.4,,,91.5,0.7864616524779631,0.5877897656269258,0.6230274556540557,90625.0,772.0,0.0,63.0,13.0,29.0,37.0,12.0,0.0,10.0,90.0,85.0,51.0,382.0,0.098445596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2019,24.3,52.1,92.0,49.4,977.0,91.5,2.6,3514.0,9.3,5.6,27.3,5.2,18.4,4.1,11.7,36.5,45.7,7.4,,92.7,0.7839074603594075,0.5542569409271805,0.6247704774800023,74233.0,759.0,0.0,77.0,0.0,27.0,49.0,13.0,0.0,10.0,132.0,86.0,39.0,326.0,0.1014492753623188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2020,21.1,,93.1,,1017.0,93.0,2.0,3597.0,7.4,5.8,26.0,5.1,18.7,3.1,11.1,34.7,45.8,5.9,,92.7,0.7873785595622814,0.5458890801078016,0.6231312056700935,43715.0,708.0,0.0,46.0,0.0,19.0,50.0,15.0,0.0,8.0,146.0,82.0,52.0,290.0,0.064971751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2021,8.3,52.5,94.1,46.8,1017.0,96.7,1.4,3621.0,5.0,5.6,25.1,5.3,19.4,2.5,11.1,32.5,45.6,5.9,,93.6,0.7967067793961019,0.5492514836824691,0.6148661607598671,52031.0,773.0,0.0,33.0,0.0,15.0,33.0,12.0,0.0,7.0,169.0,85.0,42.0,377.0,0.0426908150064683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2022,23.0,48.7,94.2,42.1,,92.6,2.1,3636.0,9.8,5.4,24.8,6.0,19.9,2.1,13.2,31.7,45.1,,,94.6,0.7965876587239,0.5284115178179017,0.6101835313650843,76844.0,805.0,0.0,23.0,0.0,0.0,12.0,13.0,0.0,10.0,169.0,56.0,42.0,480.0,0.028571429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2023,21.6,53.1,92.8,43.9,1017.0,92.2,1.4,3579.0,9.2,5.2,23.4,8.0,20.3,2.7,11.3,35.4,45.0,5.9,,95.6,0.7939227726308796,0.5118302351061063,0.6030007625551171,71635.0,730.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,123.0,70.0,63.0,443.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2024,20.9,53.2,93.2,44.2,1133.0,92.6,2.2,3483.0,11.2,4.5,23.9,10.0,20.2,2.3,10.5,37.0,44.4,3.2,86.4,94.8,0.7885703578630185,0.5226036612987716,0.5984771053748413,80461.0,708.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,104.0,64.0,79.0,440.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3319.0,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,Grade 9 - 12,2025,25.4,68.7,93.9,55.1,1133.0,91.8,1.7,3457.0,11.2,4.3,22.9,11.2,20.7,1.9,11.6,34.8,43.9,3.2,64.7,93.1,0.7828371078077657,0.5053128806800504,0.5947474157648664,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178389
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2016,0.2,25.0,99.0,0.0,,94.7,0.1,3025.0,1.4,7.1,0.6,0.4,3.8,0.1,15.5,3.4,85.1,,90.8,89.7,0.7582594210265702,0.575559100801645,0.6026948148460517,240000.0,1019.0,21.0,0.0,5.0,0.0,9.0,10.0,0.0,0.0,27.0,62.0,42.0,843.0,0.025515211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2017,0.1,87.6,98.2,79.3,,94.4,0.0,2960.0,1.2,7.4,0.6,0.3,3.8,0.1,15.2,3.5,84.9,,93.3,91.8,0.7865127144466507,0.6084814665314048,0.6303904112872264,250001.0,1057.0,21.0,0.0,0.0,0.0,8.0,16.0,7.0,0.0,33.0,58.0,36.0,878.0,0.0198675496688741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
