school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention
05-016-2020-17-0001,Evanston Twp High School         ,Evanston Twp HSD 202             ,Cook       ,High School,9 - 12,2016,11.7,37.4,89.4,0.8,,95.3,0.8,1.0,4.9,5.0,30.4,,17.5,5.0,13.3,3.2,43.3,,68.8,92.5
05-016-2020-17-0001,Evanston Twp High School         ,Evanston Twp HSD 202             ,Cook       ,High School,9 - 12,2017,12.6,58.2,93.2,54.7,,94.9,0.6,1.0,7.4,5.6,29.4,,18.0,5.0,13.1,3.4,44.1,,55.5,90.7
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,9 - 12,2018,12.9,55.6,92.3,51.6,,97.2,0.7,3459.0,7.8,5.7,27.6,4.6,18.4,4.8,11.6,38.4,45.4,,,91.5
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL, 9 10 11 12,2019,24.3,52.1,92.0,49.4,977.0,91.5,2.6,3514.0,9.3,5.6,27.3,5.2,18.4,4.1,11.7,36.5,45.7,241.0,,92.7
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.1,,93.1,,1017.0,93.0,2.0,3597.0,7.4,5.8,26.0,5.1,18.7,3.1,11.1,34.7,45.8,208.0,,92.7
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL, 9 10 11 12,2021,8.3,52.5,94.1,46.8,1017.0,96.7,1.4,3621.0,5.0,5.6,25.1,5.3,19.4,2.5,11.1,32.5,45.6,208.0,,93.6
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,12-Sep,2022,23.0,48.7,94.2,42.1,,92.6,2.1,3636.0,9.8,5.4,24.8,6.0,19.9,2.1,13.2,31.7,45.1,,,94.6
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,12-Sep,2023,21.6,53.1,92.8,43.9,1017.0,92.2,1.4,3579.0,9.2,5.2,23.4,8.0,20.3,2.7,11.3,35.4,45.0,208.0,,95.6
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,High School,12-Sep,2024,20.9,53.2,93.2,44.2,1133.0,92.6,2.2,3483.0,11.2,4.5,23.9,10.0,20.2,2.3,10.5,37.0,44.4,3.2,86.4,94.8
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,High School,12-Sep,2025,25.4,68.7,93.9,55.1,1133.0,91.8,1.7,3457.0,11.2,4.3,22.9,11.2,20.7,1.9,11.6,34.8,43.9,3.2,64.7,93.1
05-016-2030-17-0001,New Trier Township H S Winnetka  ,New Trier Twp HSD 203            ,Cook       ,High School,10 - 12,2016,0.2,25.0,99.0,0.0,,94.7,0.1,1.0,1.4,7.1,0.6,,3.8,0.1,15.7,3.2,85.1,,90.8,89.7
05-016-2030-17-0001,New Trier Township H S Winnetka  ,New Trier Twp HSD 203            ,Cook       ,High School,10 - 12,2017,0.1,87.6,98.2,79.3,,94.4,0.0,1.0,1.2,7.4,0.6,,3.8,0.1,15.4,3.4,84.9,,93.3,91.8
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,10 - 12,2018,12.4,79.7,98.3,76.2,,94.7,0.0,2934.0,1.4,7.8,0.6,0.7,3.7,,15.0,3.7,83.8,,,92.9
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL, 10 11 12,2019,10.8,81.1,98.2,80.0,837.0,94.9,0.8,2963.0,1.9,9.4,0.6,0.4,4.9,0.1,15.4,4.2,79.9,32.0,,94.5
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL, 10 11 12,2020,7.0,,97.5,,860.0,95.7,1.6,3034.0,2.3,9.9,0.6,0.5,6.9,0.1,15.5,3.3,78.0,104.0,,95.0
05-016-2030-17-0001,New Trier Township H S Winnetk,New Trier Twp HSD 203,Cook,HIGH SCHOOL, 10 11 12,2021,24.1,79.9,97.9,75.8,860.0,93.8,0.3,2998.0,2.2,9.6,0.4,0.6,6.9,,15.0,3.9,78.0,104.0,,95.1
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,12-Oct,2022,20.8,70.8,98.5,69.2,,92.9,,2960.0,2.4,9.7,0.6,0.4,7.2,,16.5,3.2,77.2,,,94.7
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,12-Oct,2023,34.8,79.0,97.3,70.6,860.0,90.2,1.1,2821.0,2.0,9.9,0.6,0.9,7.8,,17.2,3.5,75.9,104.0,,94.0
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,High School,12-Oct,2024,16.9,76.6,97.7,70.0,947.0,93.5,,2759.0,1.9,10.0,0.8,1.6,8.3,,16.8,3.6,75.3,2.1,80.4,93.1
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,High School,12-Oct,2025,15.4,87.7,97.5,86.1,947.0,93.6,,2730.0,1.5,10.0,0.8,2.1,8.6,,16.4,4.9,73.3,2.1,85.3,93.0
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203            ,Cook       ,High School,9,2016,0.1,65.3,,40.9,,96.3,0.0,1.0,2.8,8.0,0.7,,3.7,0.0,15.7,3.2,82.9,,86.5,83.7
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203            ,Cook       ,High School,9,2017,0.2,,,,,95.9,0.0,1.0,1.1,9.1,0.7,,4.2,0.1,15.4,3.4,80.6,,88.9,82.8
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,9,2018,6.0,,,,,95.7,0.0,991.0,2.5,9.8,,,5.2,,15.4,3.7,78.6,,,85.7
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,9,2019,5.7,,,,0.0,96.2,0.2,1015.0,1.6,9.5,0.6,0.9,5.1,0.1,14.5,2.6,78.9,12.0,,86.9
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,9,2020,2.0,,,,0.0,98.0,3.2,1006.0,1.9,8.6,0.3,1.3,7.7,0.2,15.8,2.3,77.7,25.0,,88.4
05-016-2030-17-0002,New Trier Township H S Northfi,New Trier Twp HSD 203,Cook,HIGH SCHOOL,9,2021,3.2,,,,0.0,98.0,0.7,973.0,0.9,10.0,,,7.6,,14.4,2.1,76.2,25.0,,92.0
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,9,2022,11.0,,,,,95.1,,886.0,1.3,10.2,,,9.1,,18.5,2.8,74.5,,,93.3
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,9,2023,17.9,,,,0.0,93.5,1.9,915.0,1.6,9.1,,1.9,8.2,,16.5,3.3,75.2,25.0,,94.3
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,High School,9-Sep,2024,7.3,,,,0.0,95.8,,941.0,,10.8,,2.4,6.9,,18.0,1.1,74.9,4.1,84.2,92.8
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,High School,9,2025,5.5,,,,0.0,95.7,,880.0,1.9,8.9,,2.5,8.6,,18.2,3.2,72.7,4.1,82.1,92.0
05-016-2070-17-0001,Maine East High School           ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2016,5.3,51.2,93.1,16.6,,94.0,0.8,1.0,7.8,26.8,4.6,,21.2,1.0,13.8,3.2,45.2,,86.6,95.1
05-016-2070-17-0001,Maine East High School           ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2017,8.3,40.5,91.3,35.6,,93.3,0.5,1.0,6.8,32.2,4.7,,22.7,1.1,13.6,3.4,36.6,,81.5,92.6
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,9 - 12,2018,21.6,33.6,90.7,37.0,,92.6,0.5,1830.0,7.3,33.9,4.5,13.7,20.9,1.0,12.4,43.7,36.9,,,90.4
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2019,27.1,35.0,85.8,34.1,457.0,91.9,0.8,1852.0,9.9,33.0,5.0,14.7,20.4,1.2,11.8,41.6,38.3,189.0,,90.2
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2020,24.2,,89.0,,690.0,92.3,1.7,1826.0,6.7,31.9,4.2,15.9,20.2,0.9,12.3,37.7,41.2,341.0,,90.5
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2021,27.1,31.1,92.8,26.0,690.0,90.5,0.8,1834.0,4.6,32.3,4.5,17.8,21.3,1.4,14.3,27.5,40.0,341.0,,90.5
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,12-Sep,2022,37.8,27.2,93.3,29.2,,88.7,1.0,1834.0,8.8,31.1,4.9,20.0,25.1,1.0,14.7,38.7,35.7,,,91.3
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,12-Sep,2023,31.3,29.1,89.2,23.1,690.0,90.1,1.7,1816.0,11.1,29.3,5.4,21.9,24.9,1.3,13.4,38.6,37.6,341.0,,93.1
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,High School,12-Sep,2024,35.1,34.4,88.7,23.8,736.0,89.1,0.9,1840.0,10.1,29.7,5.1,29.0,25.3,1.1,13.5,35.5,37.1,7.8,70.1,94.0
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,High School,12-Sep,2025,37.4,59.3,93.6,43.1,736.0,88.7,1.5,1912.0,10.8,31.2,5.3,31.8,25.1,0.8,12.1,33.9,34.8,7.8,74.1,92.3
05-016-2070-17-0003,Maine South High School          ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2016,3.6,47.9,95.4,33.5,,94.0,0.3,1.0,3.2,2.6,0.3,,8.8,0.3,13.8,3.2,85.5,,78.7,92.6
05-016-2070-17-0003,Maine South High School          ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2017,6.0,65.3,93.9,66.4,,93.2,0.1,1.0,1.8,3.2,0.5,,8.4,0.1,13.6,3.4,84.0,,80.5,91.8
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,9 - 12,2018,19.4,64.2,96.8,65.5,,91.1,0.4,2397.0,1.8,3.1,0.6,0.8,8.1,,11.1,7.3,85.0,,,92.4
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2019,17.1,62.4,94.1,64.3,566.0,93.8,0.6,2391.0,2.1,3.3,0.6,1.0,8.2,0.2,10.8,6.4,85.5,82.0,,93.1
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2020,12.5,,94.6,,926.0,94.8,1.2,2375.0,2.0,3.9,0.6,1.1,8.3,0.1,9.4,5.5,85.6,157.0,,92.2
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2021,15.8,56.7,97.5,51.7,926.0,93.7,0.9,2356.0,2.0,4.1,0.6,1.1,8.3,,9.3,5.2,85.8,157.0,,92.4
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,12-Sep,2022,22.3,56.2,96.6,56.1,,92.5,,2409.0,2.8,4.4,0.5,1.7,10.7,,9.3,5.5,82.0,,,92.2
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,12-Sep,2023,22.9,55.9,94.5,49.7,926.0,92.0,0.8,2459.0,2.3,5.1,0.8,3.3,11.3,,9.3,7.5,79.8,157.0,,93.2
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,High School,12-Sep,2024,23.6,56.6,95.8,45.3,1150.0,92.3,0.9,2451.0,2.0,4.7,0.8,4.8,11.5,,9.4,5.1,79.8,2.9,72.0,92.5
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,High School,12-Sep,2025,26.8,73.3,95.3,65.2,1150.0,91.4,0.8,2462.0,2.1,5.4,0.9,5.9,11.9,,8.8,4.5,77.9,2.9,74.9,92.7
05-016-2070-17-0004,Maine West High School           ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2016,3.5,41.8,88.4,25.0,,94.3,1.3,1.0,7.6,9.6,2.7,,38.6,2.3,13.8,3.2,47.1,,84.5,92.8
05-016-2070-17-0004,Maine West High School           ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2017,3.6,41.5,91.1,42.9,,93.2,0.7,1.0,6.5,10.0,2.9,,38.0,1.7,13.6,3.4,45.5,,79.2,92.3
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,HIGH SCHOOL,9 - 12,2018,20.9,38.0,87.9,40.0,,92.0,0.7,2059.0,5.4,10.8,2.9,6.9,38.0,1.7,12.0,34.9,45.2,,,93.7
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2019,28.9,34.4,88.5,36.9,437.0,91.7,1.1,2078.0,8.1,11.3,3.4,9.3,39.7,1.2,12.8,31.9,43.3,129.0,,94.7
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2020,24.8,,89.0,,849.0,92.1,1.9,2049.0,9.2,11.6,3.7,9.8,40.9,1.1,12.7,31.7,41.9,230.0,,95.1
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,HIGH SCHOOL, 9 10 11 12,2021,32.3,26.7,91.1,21.6,849.0,88.6,1.0,1969.0,3.4,10.9,3.5,9.4,42.1,1.5,13.1,23.1,42.0,230.0,,93.1
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,HIGH SCHOOL,12-Sep,2022,43.7,25.4,91.8,27.3,,87.0,0.9,1939.0,7.1,10.3,3.4,11.9,44.9,1.2,13.6,32.1,38.7,,,93.8
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,HIGH SCHOOL,12-Sep,2023,34.4,27.7,91.4,22.6,849.0,89.6,2.1,1818.0,11.4,10.0,2.7,14.1,45.9,2.3,12.9,31.9,38.0,230.0,,94.3
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,High School,12-Sep,2024,34.3,29.8,84.0,23.0,704.0,89.2,1.9,1820.0,10.3,10.3,2.5,18.4,45.9,2.1,11.5,27.2,37.6,6.3,75.2,94.4
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,High School,12-Sep,2025,37.6,57.5,91.2,39.7,704.0,88.2,2.8,1800.0,8.8,11.5,3.1,20.3,44.3,1.7,11.6,25.7,37.0,6.3,79.4,93.6
05-016-2110-17-0001,J B Conant High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,0.9,46.4,92.2,27.3,,95.4,0.5,1.0,3.4,24.7,3.8,,15.2,1.3,10.8,3.2,52.9,,84.2,91.8
05-016-2110-17-0001,J B Conant High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2017,1.2,56.1,94.8,62.2,,95.1,0.1,1.0,2.9,25.3,3.8,,16.4,1.1,10.2,3.4,50.6,,89.4,93.2
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,11.2,50.8,96.7,58.6,,95.3,0.4,2349.0,3.0,26.5,4.9,4.2,16.8,1.4,6.4,26.9,48.2,,,91.7
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2019,8.0,49.3,97.7,57.9,839.0,96.3,1.2,2334.0,4.1,27.6,4.3,4.1,17.5,1.2,7.5,27.9,46.9,112.0,,94.0
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2020,9.0,,96.4,,1047.0,96.0,0.7,2346.0,3.8,28.3,3.8,5.5,18.6,1.1,7.1,26.0,45.7,140.0,,92.5
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2021,5.7,48.9,96.8,51.6,1047.0,97.7,0.7,2375.0,2.8,28.7,3.6,5.3,18.2,0.9,6.7,26.8,45.9,140.0,,96.2
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2022,15.5,45.8,96.0,55.0,,94.4,0.5,2401.0,4.8,29.0,4.0,6.4,18.1,0.7,7.3,24.7,45.6,,,95.1
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2023,20.3,53.4,96.7,57.0,1047.0,92.8,0.7,2449.0,6.1,29.3,3.8,8.7,19.4,1.1,6.7,29.5,43.6,140.0,,96.2
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,High School,12-Sep,2024,15.3,47.5,95.6,53.3,971.0,93.9,1.1,2525.0,4.6,29.3,3.7,12.3,18.6,1.0,5.9,33.9,44.3,3.5,85.6,96.0
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,High School,12-Sep,2025,17.7,69.3,94.7,64.6,971.0,93.4,1.3,2560.0,7.4,29.2,3.1,14.3,19.6,0.7,5.9,34.7,42.6,3.5,83.9,97.0
05-016-2110-17-0002,Wm Fremd High School             ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,0.5,51.2,93.3,15.6,,95.7,0.1,1.0,1.8,23.6,2.8,,8.9,0.7,10.8,3.2,61.9,,82.2,94.4
