school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_grad_4yr,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,y_ela_prof,y_math_prof
05-016-2020-17-0001,Evanston Twp High School         ,Evanston Twp HSD 202             ,Cook       ,High School,9 - 12,2016,11.7,89.4,,95.3,0.8,3322.0,4.9,5.0,30.4,3.6,17.5,5.0,13.3,39.9,43.3,,68.8,92.5,37.4,0.8
05-016-2030-17-0001,New Trier Township H S Winnetka  ,New Trier Twp HSD 203            ,Cook       ,High School,10 - 12,2016,0.2,99.0,,94.7,0.1,3025.0,1.4,7.1,0.6,0.4,3.8,0.1,15.5,3.4,85.1,,90.8,89.7,25.0,0.0
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203            ,Cook       ,High School,9,2016,0.1,,,96.3,0.0,966.0,2.8,8.0,0.7,0.7,3.7,0.0,16.3,3.3,82.9,,86.5,83.7,65.3,40.9
05-016-2070-17-0001,Maine East High School           ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2016,5.3,93.1,,94.0,0.8,1930.0,7.8,26.8,4.6,11.5,21.2,1.0,12.1,46.4,45.2,,86.6,95.1,51.2,16.6
05-016-2070-17-0003,Maine South High School          ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2016,3.6,95.4,,94.0,0.3,2390.0,3.2,2.6,0.3,0.5,8.8,0.3,13.2,7.8,85.5,,78.7,92.6,47.9,33.5
05-016-2070-17-0004,Maine West High School           ,Maine Township HSD 207           ,Cook       ,High School,9 - 12,2016,3.5,88.4,,94.3,1.3,2054.0,7.6,9.6,2.7,5.9,38.6,2.3,16.1,39.4,47.1,,84.5,92.8,41.8,25.0
05-016-2110-17-0001,J B Conant High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,0.9,92.2,,95.4,0.5,2395.0,3.4,24.7,3.8,3.7,15.2,1.3,9.3,24.3,52.9,,84.2,91.8,46.4,27.3
05-016-2110-17-0002,Wm Fremd High School             ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,0.5,93.3,,95.7,0.1,2759.0,1.8,23.6,2.8,2.6,8.9,0.7,8.3,13.6,61.9,,82.2,94.4,51.2,15.6
05-016-2110-17-0003,Palatine High School             ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,3.8,90.2,,93.4,1.5,2697.0,5.0,7.9,5.6,9.5,41.9,3.2,14.2,49.6,42.7,,79.8,94.7,32.1,7.7
05-016-2110-17-0004,Schaumburg High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,1.2,90.2,,94.3,0.6,2295.0,3.7,15.3,6.5,3.6,21.2,1.7,11.4,31.7,52.3,,79.3,93.8,40.0,19.2
05-016-2110-17-0006,Hoffman Estates High School      ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,0.9,94.4,,95.1,0.4,1873.0,4.2,19.5,13.7,4.9,29.2,2.3,11.0,49.1,34.2,,81.1,95.7,41.5,22.9
05-016-2140-17-0002,Elk Grove High School            ,Township HSD 214                 ,Cook       ,High School,9 - 12,2016,0.1,94.2,,92.9,1.0,2000.0,12.6,8.2,3.2,7.9,41.4,1.4,10.3,36.3,44.4,,58.4,89.8,40.5,2.0
05-016-2140-17-0004,John Hersey High School          ,Township HSD 214                 ,Cook       ,High School,9 - 12,2016,0.2,96.2,,91.4,0.7,1879.0,8.0,8.7,2.4,0.6,12.3,0.3,12.7,13.4,73.7,,66.7,95.1,61.4,15.1
05-016-2140-17-0005,Prospect High School             ,Township HSD 214                 ,Cook       ,High School,9 - 12,2016,0.0,95.4,,94.3,1.1,2228.0,5.0,7.2,1.9,0.6,12.4,0.4,10.0,10.9,75.0,,64.5,96.3,53.4,19.8
05-016-2140-17-0006,Wheeling High School             ,Township HSD 214                 ,Cook       ,High School,9 - 12,2016,0.9,91.2,,85.9,1.0,1770.0,15.1,4.6,2.3,11.6,58.0,2.8,14.4,42.9,33.3,,59.9,92.9,38.0,19.0
05-016-2140-17-0007,Rolling Meadows High School      ,Township HSD 214                 ,Cook       ,High School,9 - 12,2016,1.3,92.9,,92.0,1.4,1985.0,12.1,6.7,2.6,7.9,33.8,1.4,12.3,29.9,54.5,,47.9,92.8,42.1,22.9
05-016-2140-17-0008,Buffalo Grove High School        ,Township HSD 214                 ,Cook       ,High School,9 - 12,2016,0.5,95.0,,92.8,0.5,2017.0,9.7,8.1,1.7,5.4,26.3,1.1,11.1,19.4,60.2,,58.0,93.9,45.5,18.4
05-016-2190-17-0002,Niles North High School          ,Niles Twp CHSD 219               ,Cook       ,High School,9 - 12,2016,1.1,94.6,,94.2,0.7,2149.0,4.6,34.5,10.7,5.8,13.3,1.3,12.7,34.0,40.4,,75.6,88.7,44.9,21.2
05-016-2190-17-0003,Niles West High School           ,Niles Twp CHSD 219               ,Cook       ,High School,9 - 12,2016,4.1,94.4,,93.8,0.4,2577.0,5.8,32.0,5.6,6.7,14.6,0.9,11.5,31.0,47.0,,76.8,92.0,45.1,21.4
05-016-2250-17-0001,Glenbrook North High School      ,Northfield Twp HSD 225           ,Cook       ,High School,9 - 12,2016,0.6,97.5,,96.1,0.0,2062.0,1.1,15.2,0.8,0.7,4.0,0.3,13.2,7.0,77.4,,87.0,93.4,47.1,24.5
05-016-2250-17-0002,Glenbrook South High School      ,Northfield Twp HSD 225           ,Cook       ,High School,9 - 12,2016,2.2,96.3,,95.3,0.2,3016.0,2.3,17.9,1.6,3.5,13.1,0.2,11.9,21.2,63.5,,84.5,89.5,20.4,18.9
06-016-2000-13-0001,Oak Park & River Forest High Sch ,Oak Park - River Forest SD 200   ,Cook       ,High School,9 - 12,2016,4.1,93.1,,92.3,0.5,3309.0,10.5,3.2,23.5,0.5,11.2,1.0,15.8,19.5,53.8,,61.8,95.1,45.6,11.5
06-016-2010-17-0001,J Sterling Morton East High Sch  ,J S Morton HSD 201               ,Cook       ,High School,10 - 12,2016,28.9,73.1,,90.7,4.6,3397.0,10.7,0.2,2.0,13.1,95.7,0.6,7.7,92.7,1.7,,73.4,90.1,8.8,4.9
06-016-2010-17-0002,J Sterling Morton West High Sch  ,J S Morton HSD 201               ,Cook       ,High School,9 - 12,2016,6.8,77.3,,90.3,2.6,3618.0,8.8,1.2,7.4,7.1,79.9,1.3,15.5,81.8,10.4,,77.3,93.4,8.5,3.9
06-016-2010-17-0003,J Sterling Morton Freshman Cntr  ,J S Morton HSD 201               ,Cook       ,High School,9,2016,10.3,5.3,,94.6,0.1,1275.0,6.4,0.0,1.9,26.3,96.6,0.5,9.5,94.4,0.9,,66.2,89.6,,
06-016-2040-17-0001,Lyons Twp High Sch               ,Lyons Twp HSD 204                ,Cook       ,High School,9 - 12,2016,3.3,92.9,,95.1,0.2,4046.0,3.5,1.7,4.0,2.2,19.9,0.7,11.6,16.0,72.2,,75.6,95.4,49.9,30.8
06-016-2080-17-0001,Riverside Brookfield Twp HS      ,Riverside-Brookfield Twp SD 208  ,Cook       ,High School,9 - 12,2016,1.7,94.7,,94.3,0.7,1635.0,3.5,1.8,5.6,3.7,33.0,1.4,12.4,16.2,56.8,,73.5,95.1,34.2,38.8
06-016-2090-17-0001,Proviso East High School         ,Proviso Twp HSD 209              ,Cook       ,High School,9 - 12,2016,28.9,61.7,,77.2,6.2,1814.0,17.3,0.5,48.4,13.7,48.4,3.7,21.7,59.9,1.5,,94.7,74.7,10.0,0.4
06-016-2090-17-0002,Proviso West High School         ,Proviso Twp HSD 209              ,Cook       ,High School,9 - 12,2016,20.4,77.6,,81.7,3.3,2060.0,14.1,0.7,49.7,12.9,46.6,1.4,18.3,41.5,2.3,,93.8,84.2,8.5,2.7
06-016-2090-17-0003,Proviso Math and Science Academy ,Proviso Twp HSD 209              ,Cook       ,High School,9 - 12,2016,0.7,100.0,,95.2,0.1,740.0,0.8,3.1,30.1,0.0,59.5,0.0,0.7,47.4,6.1,,93.3,85.5,70.0,70.3
06-016-2120-16-0001,East Leyden High School          ,Leyden CHSD 212                  ,Cook       ,High School,9 - 12,2016,3.7,85.1,,91.3,1.1,1769.0,3.5,3.3,1.8,7.5,50.3,0.9,12.8,41.7,42.6,,88.2,92.5,31.3,15.2
06-016-2120-16-0002,West Leyden High School          ,Leyden CHSD 212                  ,Cook       ,High School,9 - 12,2016,1.2,81.2,,92.2,1.4,1606.0,3.2,1.7,1.5,8.2,81.3,1.2,14.0,56.1,14.4,,88.1,87.4,31.4,19.7
06-016-2340-16-0001,Ridgewood Comm High School       ,Ridgewood CHSD 234               ,Cook       ,High School,9 - 12,2016,0.9,94.4,,92.5,0.7,856.0,17.0,5.7,0.6,6.1,19.4,0.7,8.9,30.6,72.7,,92.9,82.7,47.7,19.3
06-016-4010-26-0001,Elmwood Park High School         ,Elmwood Park CUSD 401            ,Cook       ,High School,9 - 12,2016,2.6,84.5,,93.5,1.0,953.0,11.3,2.5,1.8,3.9,41.8,0.8,15.9,53.1,51.6,,86.3,92.7,44.1,18.6
07-016-2050-17-0001,Thornton Township High School    ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2016,12.0,80.5,,93.0,0.5,1977.0,13.9,0.9,80.4,7.4,17.6,1.1,19.3,91.3,0.7,,55.4,93.4,21.8,4.9
07-016-2050-17-0002,Thornridge High School           ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2016,20.6,61.6,,89.8,1.8,1287.0,17.4,0.0,97.5,1.2,1.9,3.4,19.5,93.6,0.4,,45.4,91.4,13.8,1.3
07-016-2050-17-0003,Thornwood High School            ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2016,9.8,77.0,,92.0,1.2,1908.0,12.3,0.1,86.7,4.7,8.4,1.6,18.9,21.0,2.8,,65.6,90.8,20.0,4.3
07-016-2060-17-0001,Bloom High School                ,Bloom Twp HSD 206                ,Cook       ,High School,9 - 12,2016,27.6,78.5,,88.4,0.8,1664.0,14.4,0.1,47.4,6.2,43.9,1.9,15.1,73.4,4.7,,58.3,88.2,7.8,1.3
07-016-2060-17-0002,Bloom Trail High School          ,Bloom Twp HSD 206                ,Cook       ,High School,9 - 12,2016,25.3,72.2,,87.3,2.0,1447.0,19.8,0.7,59.8,2.0,17.0,2.1,19.4,65.9,17.7,,51.3,83.3,18.9,3.5
07-016-2100-17-0001,Lemont Twp High School           ,Lemont Twp HSD 210               ,Cook       ,High School,9 - 12,2016,1.9,96.0,,94.9,0.4,1384.0,2.7,5.1,1.0,1.7,9.8,0.1,9.5,10.3,82.5,,84.4,96.6,60.3,57.0
07-016-2150-17-0001,Thornton Fractnl No High School  ,Thornton Fractional Twp HSD 215  ,Cook       ,High School,9 - 12,2016,4.0,92.7,,91.8,0.2,1599.0,20.4,0.3,72.2,3.9,23.7,2.7,13.6,72.4,2.4,,71.8,91.3,18.9,17.5
07-016-2150-17-0002,Thornton Fractnl So High School  ,Thornton Fractional Twp HSD 215  ,Cook       ,High School,9 - 12,2016,3.7,96.2,,94.9,0.4,1851.0,10.1,0.6,62.8,1.6,16.7,2.5,11.8,72.3,15.9,,81.2,92.5,20.0,12.1
07-016-2170-16-0001,Argo Community High School       ,Argo CHSD 217                    ,Cook       ,High School,9 - 12,2016,2.8,89.7,,95.7,1.0,1816.0,17.1,1.8,15.4,6.3,43.0,2.0,14.1,60.6,36.6,,85.2,92.7,24.2,17.5
