school_id,year,TRACTID,LAT,LON,x_tract_median_hh_income,x_tract_total_n_hh,x_tract_pov_share_under_1_00,x_tract_urban,x_tract_lilatracts_1and10,x_tract_lilatracts_halfand10,x_tract_lilatracts_1and20,x_tract_lilatracts_vehicle,x_tract_lowincometracts,x_tract_la1and10,x_tract_lahalfand10,x_tract_la1and20,x_tract_transport_length,x_tract_pop20
05-016-2020-17-0001,2018,17031809600,42.046339,-87.700342,90625.0,772.0,0.098445596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2020-17-0001,2019,17031809600,42.046339,-87.700342,74233.0,759.0,0.1014492753623188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2020-17-0001,2020,17031809600,42.046339,-87.700342,43715.0,708.0,0.064971751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2020-17-0001,2021,17031809600,42.046339,-87.700342,52031.0,773.0,0.0426908150064683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2020-17-0001,2022,17031809600,42.046339,-87.700342,76844.0,805.0,0.028571429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2020-17-0001,2023,17031809600,42.046339,-87.700342,71635.0,730.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2020-17-0001,2024,17031809600,42.046339,-87.700342,80461.0,708.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2020-17-0001,2025,17031809600,42.046339,-87.700342,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319
05-016-2030-17-0001,2018,17031800400,42.0946,-87.7192,250001.0,1009.0,0.016848365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0001,2019,17031800400,42.0946,-87.7192,250001.0,1007.0,0.017874876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0001,2020,17031800400,42.0946,-87.7192,250001.0,1018.0,0.009823183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0001,2021,17031800400,42.0946,-87.7192,250001.0,1122.0,0.016934046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0001,2022,17031800400,42.0946,-87.7192,250001.0,1083.0,0.0193905817174515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0001,2023,17031800400,42.0946,-87.7192,250001.0,1087.0,0.0174793008279668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0001,2024,17031800400,42.0946,-87.7192,250001.0,1079.0,0.0185356811862835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0001,2025,17031800400,42.0946,-87.7192,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3936
05-016-2030-17-0002,2018,17031800800,42.0901,-87.7647,93906.0,623.0,0.06741573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2030-17-0002,2019,17031800800,42.0901,-87.7647,98125.0,622.0,0.1543408360128617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2030-17-0002,2020,17031800800,42.0901,-87.7647,110025.0,678.0,0.163716814159292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2030-17-0002,2021,17031800800,42.0901,-87.7647,105417.0,747.0,0.1365461847389558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2030-17-0002,2022,17031800800,42.0901,-87.7647,110156.0,710.0,0.1014084507042253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2030-17-0002,2023,17031800800,42.0901,-87.7647,105688.0,685.0,0.080291971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2030-17-0002,2024,17031800800,42.0901,-87.7647,121111.0,698.0,0.0143266475644699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2030-17-0002,2025,17031800800,42.0901,-87.7647,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2426
05-016-2070-17-0001,2018,17031805902,42.037404,-87.857907,103417.0,1542.0,0.050583658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0001,2019,17031805902,42.037404,-87.857907,113036.0,1576.0,0.046319797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0001,2020,17031805902,42.037404,-87.857907,104222.0,1556.0,0.0192802056555269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0001,2021,17031805902,42.037404,-87.857907,117900.0,1663.0,0.0192423331328923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0001,2022,17031805902,42.037404,-87.857907,144931.0,1745.0,0.0137535816618911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0001,2023,17031805902,42.037404,-87.857907,153182.0,1735.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0001,2024,17031805902,42.037404,-87.857907,139531.0,1695.0,0.015339233038348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0001,2025,17031805902,42.037404,-87.857907,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6503
05-016-2070-17-0003,2018,17031805701,42.0002,-87.8532,113576.0,1341.0,0.0149142431021625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0003,2019,17031805701,42.0002,-87.8532,117500.0,1308.0,0.0137614678899082,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0003,2020,17031805701,42.0002,-87.8532,136698.0,1285.0,0.007003891,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0003,2021,17031805701,42.0002,-87.8532,144767.0,1447.0,0.0158949550794747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0003,2022,17031805701,42.0002,-87.8532,157411.0,1448.0,0.0234806629834254,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0003,2023,17031805701,42.0002,-87.8532,176577.0,1471.0,0.0285520054384772,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0003,2024,17031805701,42.0002,-87.8532,215891.0,1406.0,0.0291607396870554,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0003,2025,17031805701,42.0002,-87.8532,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5485
05-016-2070-17-0004,2018,17031770602,42.021,-87.9069,63112.0,1166.0,0.1861063464837049,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2070-17-0004,2019,17031770602,42.021,-87.9069,71103.0,1164.0,0.1417525773195876,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2070-17-0004,2020,17031770602,42.021,-87.9069,69010.0,1120.0,0.1232142857142857,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2070-17-0004,2021,17031770602,42.021,-87.9069,78800.0,1142.0,0.092819615,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2070-17-0004,2022,17031770602,42.021,-87.9069,80568.0,1102.0,0.1442831215970962,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2070-17-0004,2023,17031770602,42.021,-87.9069,85913.0,1156.0,0.035467128,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2070-17-0004,2024,17031770602,42.021,-87.9069,85089.0,1092.0,0.0311355311355311,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2070-17-0004,2025,17031770602,42.021,-87.9069,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4762
05-016-2110-17-0001,2018,17031804608,42.036395,-88.062637,85040.0,884.0,0.062217195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0001,2019,17031804608,42.036395,-88.062637,88149.0,922.0,0.082429501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0001,2020,17031804608,42.036395,-88.062637,101189.0,895.0,0.08603352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0001,2021,17031804608,42.036395,-88.062637,113462.0,955.0,0.057591623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0001,2022,17031804608,42.036395,-88.062637,120565.0,1057.0,0.063386944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0001,2023,17031804608,42.036395,-88.062637,123889.0,1070.0,0.0373831775700934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0001,2024,17031804608,42.036395,-88.062637,118281.0,1093.0,0.038426349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0001,2025,17031804608,42.036395,-88.062637,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4027
05-016-2110-17-0002,2018,17031804102,42.094494,-88.065911,132222.0,2102.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0002,2019,17031804102,42.094494,-88.065911,141786.0,2161.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0002,2020,17031804102,42.094494,-88.065911,137500.0,1946.0,0.0174717368961973,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0002,2021,17031804102,42.094494,-88.065911,145938.0,1993.0,0.0185649774209734,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0002,2022,17031804102,42.094494,-88.065911,170819.0,1961.0,0.0275369709331973,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0002,2023,17031804102,42.094494,-88.065911,175204.0,2023.0,0.027187346,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0002,2024,17031804102,42.094494,-88.065911,165680.0,2008.0,0.0258964143426294,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0002,2025,17031804102,42.094494,-88.065911,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7307
05-016-2110-17-0003,2018,17031803605,42.132775,-88.022064,95089.0,1921.0,0.0551795939614783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0003,2019,17031803605,42.132775,-88.022064,78611.0,1968.0,0.052337398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0003,2020,17031803605,42.132775,-88.022064,78107.0,1802.0,0.0427303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0003,2021,17031803605,42.132775,-88.022064,84722.0,1812.0,0.0375275938189845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0003,2022,17031803605,42.132775,-88.022064,100506.0,1765.0,0.06572238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0003,2023,17031803605,42.132775,-88.022064,103409.0,1710.0,0.0198830409356725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0003,2024,17031803605,42.132775,-88.022064,111063.0,1605.0,0.0124610591900311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0003,2025,17031803605,42.132775,-88.022064,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7002
05-016-2110-17-0004,2018,17031804710,42.027416,-88.106632,78317.0,1068.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0004,2019,17031804710,42.027416,-88.106632,86333.0,1098.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0004,2020,17031804710,42.027416,-88.106632,87311.0,1064.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0004,2021,17031804710,42.027416,-88.106632,95705.0,1123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0004,2022,17031804710,42.027416,-88.106632,95703.0,1106.0,0.01084991,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0004,2023,17031804710,42.027416,-88.106632,97917.0,1060.0,0.030188679,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0004,2024,17031804710,42.027416,-88.106632,109375.0,1089.0,0.032139578,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0004,2025,17031804710,42.027416,-88.106632,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4292
05-016-2110-17-0006,2018,17031804706,42.052903,-88.108289,119327.0,715.0,0.0139860139860139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2110-17-0006,2019,17031804706,42.052903,-88.108289,115500.0,688.0,0.007267442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2110-17-0006,2020,17031804706,42.052903,-88.108289,113750.0,622.0,0.008038585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2110-17-0006,2021,17031804706,42.052903,-88.108289,118333.0,658.0,0.006079027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2110-17-0006,2022,17031804706,42.052903,-88.108289,116354.0,647.0,0.007727975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2110-17-0006,2023,17031804706,42.052903,-88.108289,121838.0,630.0,0.036507937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2110-17-0006,2024,17031804706,42.052903,-88.108289,125956.0,615.0,0.034146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2110-17-0006,2025,17031804706,42.052903,-88.108289,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2553
05-016-2140-17-0002,2018,17031770300,42.010907,-87.997413,81938.0,1926.0,0.0212876427829698,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7234
05-016-2140-17-0002,2019,17031770300,42.010907,-87.997413,82196.0,1915.0,0.008355091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7234
05-016-2140-17-0002,2020,17031770300,42.010907,-87.997413,73554.0,1915.0,0.009399478,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7234
05-016-2140-17-0002,2021,17031770300,42.010907,-87.997413,83885.0,1913.0,0.0245687401986408,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7234
05-016-2140-17-0002,2022,17031770300,42.010907,-87.997413,88614.0,1927.0,0.018162948,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7234
