school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_grad_4yr,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,x_ap_coursework,y_ela_prof,y_math_prof
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,9 - 12,2018,12.9,92.3,97.2,0.7,3459,7.8,5.7,27.6,4.6,18.4,4.8,11.6,38.4,45.4,,,91.5,,55.6,51.6
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,10 - 12,2018,12.4,98.3,94.7,0.0,2934,1.4,7.8,0.6,0.7,3.7,,15.0,3.7,83.8,,,92.9,,79.7,76.2
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,9,2018,6.0,,95.7,0.0,991,2.5,9.8,,,5.2,,15.4,3.7,78.6,,,85.7,,,
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,9 - 12,2018,21.6,90.7,92.6,0.5,1830,7.3,33.9,4.5,13.7,20.9,1.0,12.4,43.7,36.9,,,90.4,,33.6,37.0
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,9 - 12,2018,19.4,96.8,91.1,0.4,2397,1.8,3.1,0.6,0.8,8.1,,11.1,7.3,85.0,,,92.4,,64.2,65.5
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,HIGH SCHOOL,9 - 12,2018,20.9,87.9,92.0,0.7,2059,5.4,10.8,2.9,6.9,38.0,1.7,12.0,34.9,45.2,,,93.7,,38.0,40.0
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,11.2,96.7,95.3,0.4,2349,3.0,26.5,4.9,4.2,16.8,1.4,6.4,26.9,48.2,,,91.7,,50.8,58.6
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,11.1,97.9,95.5,0.5,2594,2.5,28.8,2.3,3.4,10.7,0.5,6.4,15.0,55.5,,,95.2,,68.6,71.4
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,19.5,91.6,93.4,0.8,2587,4.4,8.1,5.2,9.7,45.3,2.6,11.9,55.0,38.7,,,95.9,,37.4,40.3
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,13.8,94.8,94.9,0.6,2116,3.9,17.1,5.6,4.6,22.4,0.8,8.2,31.6,49.8,,,93.0,,48.4,57.3
05-016-2110-17-0006,Hoffman Estates High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,14.5,93.0,95.0,0.5,1907,5.3,19.9,11.9,6.1,31.3,2.4,9.8,49.6,32.6,,,95.4,,38.5,39.8
05-016-2140-17-0002,Elk Grove High School,Township HSD 214,Cook,HIGH SCHOOL,9 - 12,2018,23.3,96.6,90.3,0.5,1935,8.9,9.7,2.3,10.5,43.7,1.3,8.3,28.2,41.2,,,95.8,,42.7,43.9
05-016-2140-17-0004,John Hersey High School,Township HSD 214,Cook,HIGH SCHOOL,9 - 12,2018,14.7,89.7,93.2,0.3,1864,3.1,10.6,1.5,2.6,14.3,,12.2,11.5,70.6,,,96.6,,70.8,65.0
05-016-2140-17-0005,Prospect High School,Township HSD 214,Cook,HIGH SCHOOL,9 - 12,2018,11.9,95.7,93.5,0.6,2150,2.9,7.5,1.2,0.9,13.0,,8.0,7.5,75.0,,,96.2,,70.5,67.2
05-016-2140-17-0006,Wheeling High School,Township HSD 214,Cook,HIGH SCHOOL,9 - 12,2018,23.7,94.0,91.6,0.8,1718,5.8,5.0,2.4,13.6,62.3,3.8,11.2,38.7,28.0,,,96.9,,36.1,40.1
05-016-2140-17-0007,Rolling Meadows High School,Township HSD 214,Cook,HIGH SCHOOL,9 - 12,2018,18.5,94.0,92.2,0.4,1900,7.3,7.6,2.6,8.4,36.3,,8.8,20.3,51.0,,,95.9,,52.2,55.8
05-016-2140-17-0008,Buffalo Grove High School,Township HSD 214,Cook,HIGH SCHOOL,9 - 12,2018,19.3,97.3,89.6,0.7,2004,4.4,8.7,1.6,7.2,28.1,0.8,9.9,16.3,58.0,,,96.2,,53.2,53.6
05-016-2190-17-0002,Niles North High School,Niles Twp HSD 219,Cook,HIGH SCHOOL,9 - 12,2018,12.6,92.7,92.2,0.4,2059,3.9,36.8,9.2,7.3,12.8,1.2,11.9,31.8,38.5,,,92.5,,46.9,44.9
05-016-2190-17-0003,Niles West High School,Niles Twp HSD 219,Cook,HIGH SCHOOL,9 - 12,2018,15.3,94.6,92.8,0.3,2435,3.0,33.8,4.4,6.9,15.2,0.7,8.7,30.6,43.8,,,93.5,,47.4,45.3
05-016-2250-17-0001,Glenbrook North High School,Northfield Twp HSD 225,Cook,HIGH SCHOOL,9 - 12,2018,7.9,97.6,95.1,0.0,1988,1.0,15.0,0.7,1.2,4.8,,13.5,5.8,74.9,,,93.2,,75.5,75.9
05-016-2250-17-0002,Glenbrook South High School,Northfield Twp HSD 225,Cook,HIGH SCHOOL,9 - 12,2018,8.7,97.8,95.8,0.1,3067,2.1,17.9,1.6,4.1,13.2,,10.4,19.9,62.8,,,90.3,,67.3,66.8
06-016-2000-13-0001,Oak Park & River Forest High Sch,Oak Park - River Forest SD 200,Cook,HIGH SCHOOL,9 - 12,2018,17.7,94.4,91.6,0.5,3370,2.4,3.4,21.4,0.5,12.1,0.8,15.5,21.5,53.5,,,93.3,,62.1,55.2
06-016-2010-17-0001,J Sterling Morton East High Sch,J S Morton HSD 201,Cook,HIGH SCHOOL,10 - 12,2018,40.4,79.0,89.7,4.6,3485,8.9,,1.4,19.8,97.0,0.4,8.3,92.2,1.1,,,91.9,,13.4,8.3
06-016-2010-17-0002,J Sterling Morton West High Sch,J S Morton HSD 201,Cook,HIGH SCHOOL,9 - 12,2018,35.2,75.5,89.4,1.9,3539,7.0,1.3,6.6,10.5,81.3,1.1,14.9,81.2,9.4,,,93.2,,16.4,7.3
06-016-2010-17-0003,J Sterling Morton Freshman Cntr,J S Morton HSD 201,Cook,HIGH SCHOOL,9,2018,33.8,0.0,94.1,0.0,1182,5.3,,2.2,26.1,92.7,,9.5,95.4,2.2,,,91.9,,,
06-016-2040-17-0001,Lyons Twp High Sch,Lyons Twp HSD 204,Cook,HIGH SCHOOL,9 - 12,2018,10.6,96.0,94.9,0.2,4000,2.7,2.1,3.7,1.9,19.3,0.8,10.5,12.2,72.9,,,96.6,,59.3,58.5
06-016-2080-17-0001,Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 208,Cook,HIGH SCHOOL,9 - 12,2018,11.0,95.0,94.5,0.9,1615,2.9,2.4,5.6,5.0,36.4,0.9,11.8,14.4,52.8,,,96.0,,50.6,47.6
06-016-2090-17-0001,Proviso East High School,Proviso Twp HSD 209,Cook,HIGH SCHOOL,9 - 12,2018,37.4,68.5,76.0,0.7,1620,9.5,,41.5,14.0,54.1,3.3,13.5,45.0,2.1,,,73.6,,6.1,5.0
06-016-2090-17-0002,Proviso West High School,Proviso Twp HSD 209,Cook,HIGH SCHOOL,9 - 12,2018,26.2,76.4,81.7,1.1,1797,8.1,,47.2,12.7,47.8,2.6,13.7,17.9,2.1,,,84.1,,7.4,7.8
06-016-2090-17-0003,Proviso Math and Science Academy,Proviso Twp HSD 209,Cook,HIGH SCHOOL,9 - 12,2018,6.6,100.0,95.4,0.0,792,0.8,4.2,25.5,,62.9,,,23.9,5.1,,,87.3,,81.7,73.1
06-016-2120-16-0001,East Leyden High School,Leyden CHSD 212,Cook,HIGH SCHOOL,9 - 12,2018,21.6,91.0,91.2,0.7,1824,8.7,3.7,1.4,14.1,52.7,0.7,10.6,51.4,40.0,,,93.8,,27.5,27.7
